Date,Open,High,Low,Close,Volume
2024-01-02,352.10,355.30,348.90,354.80,28000000
2024-01-03,354.50,357.60,352.20,356.90,26500000
2024-01-04,356.80,360.10,355.40,359.70,27550000
2024-01-05,359.90,362.00,357.80,361.20,28900000
2024-01-08,361.40,364.20,359.50,362.90,30100000
2024-01-09,363.00,365.70,361.40,364.80,29800000
2024-01-10,364.50,368.10,363.00,366.70,30500000
2024-01-11,366.80,369.40,364.80,368.20,31500000
2024-01-12,368.30,370.90,366.70,369.50,32000000
2024-01-15,369.80,372.50,368.10,371.90,33000000
2024-01-16,371.60,374.10,370.20,373.50,34000000
2024-01-17,373.40,376.00,371.70,375.80,35500000
2024-01-18,375.50,378.20,373.40,377.60,36000000
2024-01-19,377.20,379.90,375.70,378.80,34500000
2024-01-22,378.50,381.10,377.00,380.50,35000000
2024-01-23,380.30,383.20,379.00,382.40,36500000
2024-01-24,382.10,385.00,380.20,384.30,37000000
2024-01-25,384.20,387.30,382.50,386.40,39000000
2024-01-26,386.00,389.20,384.40,388.10,39500000
2024-01-29,388.50,391.00,386.50,389.70,40000000
